data,index,prob
business planning meeting correction the meeting will take place on tuesday at am it will be held in the same conference room sorry for the inconvenience amanda business planning meeting please plan to attend a meeting on monday february th at a m the meeting will take place in conference room ecs thank you amanda rybarski office fax cell endofsignature,1259,0.9917953014373779
dinner hi terri sorry i missed your call i would love to get togerther this week sometime any night will work for me just let me know thanks,1437,0.9611891508102417
daily desk meeting pm please note the daily central desk meeting which starts pm will take place today only in team room located on the th floor starting tomorrow this meeting will take place in team room located on the floor thank you irena hogan sr administrative assistant enron americas,9108,0.9478179216384888
ice next steps are he gets me a contract for the api and lets me know when they are meeting on mid and back,14145,0.9248844981193542
vc contact i left a message this afternoon vc contact please contact jay fitzgerald,14426,0.9996708631515503
follow up would you like me to schedule a meeting to discuss real time data feeds to customers if so who should attend i also would like to follow up with true quote and houston street from a business perspective on the exchanges is it ok for me to contact them to get a feel on progress on their side if so who are the commercial contacts at true quotes and houston street,17992,0.9344860315322876
missed your call sorrry i missed your call i am in all day today call me back if you need to speak with me bt,19620,0.610651969909668
delaineys cell kay i lost my cell phone the other day as such can you please forward to me daves cell phone and work s to reinstall thanks bt,19937,0.7812083959579468
golf sat guys as discussed i am going to be tight on time tommorrow as such i am going to take my own car up and would suggest you two carpool together i am leaving houston at am and need to be back by thanks bt,19981,0.9870245456695557
hey whats going on i am heading to dc this weekend with verrechio introducing him to a friend of the girl i am dating should i kiss my relationship goodbye now or wait for verrechio to do that for me gioffre get your private free email at http www hotmail com,21461,0.9493380188941956
more alyssa milano theres some smut circulating about my old lady so thought id drop this to show she has some class me alysa mov,21503,0.6812246441841125
ch case take a look at this i did the numbers questions the rest look like they are going to take a few minutes to do ill check my email tonight let me know where you get to bn,21541,0.8501430749893188
lunch where do you want to meet in the tunnell i am at houston,21654,0.9924367666244507
comparison model i am attaching the comparison model that i created i just wanted to give you this in case miller needs anything while i am gone give me a call if you have any questions my cell is,22136,0.6387694478034973
genco meeting the meeting has been switched to pm over near room tba let me know if this doesnt work for any of you thanks ben,23417,0.9288085103034973
school visit professor ronn thank you for your reply i have a meeting at am but i am free from am to am if you could let me know what the best time for me to stop by your office i would appreciate it i look forward to meeting you tomorrow ben rogers,23547,0.9917596578598022
please give me a call when you get this thanks ben,23940,0.7662249803543091
hey ashley please give me a call at which is my work phone at enron i look forward to talking to you about enron regards ben,24967,0.9205664992332458
winnie t what are you doing sending me this crap i want some dirty jokes i want some stories of wild drunken nights not this stuff we are getting into nyc on late on friday night i am picking up my number early on saturday morning would you be interested in going to dinner with a group of us to tony dinapolis on upper east side on saturday night were getting there at approx pm give me a call about this see ya ben,25159,0.8054202198982239
no java you are cracking me up basically you are the only thing keeping me awake today,27123,0.9999918937683105
can you give me a call today when things are slow i know things are not greg i wanted to let you know that i am sorry that the job prospect did not work out when i called i wanted to be up front with you so that you know where you stand please keep pursuing the other opportunities available at enron if there is anything i can do to help please let me know brad,28598,0.9617345929145813
happy birthday thanks man i feel like the old man that i am i only have years until it gets really bad hunting was great the dog did great he tried to attack a bull and went tearing through the brush i thought that i would never find him after he settled down he did great thanks for keeping the family tiffany told me that you guys taught her how to call the hogs brad,28788,0.9358727931976318
i am wearing you to work today good morning sir i am wearing my sweatshirt and my new boots to work so my feet are warm and i feel like i have you wrapped around me my roses are starting to really open up now they are so beautiful i had fun at the party last night danced my fool head off good natured fun dancing with the buds from work one guy tried to dip me and failed miserably i fell on my right hip but not before i nearly knocked myself unconcious on part of the wall i ended up sitting there for a minute with a packet of frozen soybeans on my noggin i told him no more of that stuff on the way home from the party i almost just showed up at your house but figured you needed a break from me for some rest you have a good day hope you are rested and feeling good,30189,0.9559696316719055
i am leaving for home now hi sweetheart the trip and all really took it out of me i am taking off for home now looking at a little nap action and then if i feel good start packing i love you and will see you this after noon dont work my man too hard but i will rub your feet when you get home if you do love cf,30248,0.5440782308578491
